"Variants of the population projection
Länder",2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31,2031-12-31,2032-12-31,2033-12-31,2034-12-31,2035-12-31,2036-12-31,2037-12-31,2038-12-31,2039-12-31,2040-12-31,2041-12-31,2042-12-31,2043-12-31,2044-12-31,2045-12-31,2046-12-31,2047-12-31,2048-12-31,2049-12-31,2050-12-31,2051-12-31,2052-12-31,2053-12-31,2054-12-31,2055-12-31,2056-12-31,2057-12-31,2058-12-31,2059-12-31,2060-12-31,2061-12-31,2062-12-31,2063-12-31,2064-12-31,2065-12-31,2066-12-31,2067-12-31,2068-12-31,2069-12-31,2070-12-31
"BEV-VARIANTE-01 Mod. birth rate a. life exp.,low mig.bal. (G2L2W1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saarland,987,982.7,978.5,974.4,970.3,966.1,961.7,957.2,952.6,947.9,943,937.9,932.8,927.6,922.4,917.1,911.8,906.4,901,895.5,889.9,884.4,878.8,873.1,867.5,862,856.4,851,845.6,840.2,835,829.9,824.9,820.1,815.4,810.9,806.6,802.5,798.5,794.7,791.1,787.7,784.4,781.2,778.1,775.1,772.2,769.3,766.4
Sachsen,4057.2,4039.8,4022.6,4005.4,3987.8,3969.4,3950.4,3930.9,3911.1,3891.1,3871,3850.7,3830.7,3811.2,3792.1,3773.3,3754.7,3736.3,3718.1,3699.9,3681.8,3663.7,3645.7,3627.6,3609.5,3591.3,3573.1,3554.8,3536.4,3518.1,3499.8,3481.6,3463.5,3445.6,3428.1,3410.8,3394,3377.6,3361.7,3346.3,3331.4,3317,3303,3289.3,3276,3262.9,3250,3237.2,3224.5
Sachsen-Anhalt,2168.2,2151.6,2135.3,2119,2102.6,2085.9,2069,2052,2034.9,2017.8,2000.7,1983.7,1966.9,1950.5,1934.3,1918.4,1902.7,1887.1,1871.6,1856.3,1841,1825.8,1810.8,1795.8,1781,1766.3,1751.7,1737.3,1723,1708.9,1695.1,1681.5,1668.3,1655.3,1642.7,1630.5,1618.8,1607.5,1596.7,1586.3,1576.4,1566.9,1557.7,1549,1540.5,1532.3,1524.4,1516.6,1509
Schleswig-Holstein,2949.7,2953.1,2956.4,2959.2,2961.2,2962.2,2962.4,2961.7,2960.1,2957.6,2954.3,2950,2945.2,2940,2934.3,2928.2,2921.6,2914.6,2907.2,2899.3,2891,2882.2,2873,2863.4,2853.3,2842.8,2831.8,2820.3,2808.4,2796.2,2783.9,2771.5,2759,2746.5,2734.1,2721.8,2709.9,2698.2,2686.9,2675.9,2665.5,2655.4,2645.7,2636.5,2627.5,2618.9,2610.5,2602.2,2594
Thüringen,2113.6,2098.8,2084.2,2069.6,2054.7,2039.6,2024.2,2008.7,1993.1,1977.4,1961.6,1945.8,1930.2,1914.9,1899.7,1884.7,1869.9,1855.2,1840.6,1826.1,1811.7,1797.3,1783.1,1769,1755,1741.2,1727.5,1714,1700.7,1687.5,1674.5,1661.8,1649.4,1637.3,1625.5,1614.2,1603.2,1592.6,1582.4,1572.6,1563.2,1554.2,1545.5,1537.1,1529,1521,1513.3,1505.7,1498.2
"BEV-VARIANTE-02 Mod. birth rate, life expectancy, mig.bal.(G2L2W2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,11278.5,11326.5,11361.9,11395.4,11426.4,11454,11478.5,11499.9,11518.3,11533.6,11545.9,11555,11563.5,11571.1,11577.9,11583.7,11588.5,11592,11594.3,11595.3,11594.9,11593.4,11590.7,11587,11582.4,11577,11570.8,11564.1,11556.8,11548.9,11540.4,11531.6,11522.6,11513.6,11504.8,11496.4,11488.5,11481.4,11475.2,11470,11465.8,11462.6,11460.3,11458.8,11457.8,11457.2,11456.7,11456.2,11455.5
Bayern,13381.4,13452.5,13507.2,13559.5,13608.3,13652.7,13692.9,13729,13760.9,13788.5,13811.6,13830.2,13847.1,13862.4,13876,13888,13898.3,13906.7,13913.4,13918.3,13921.6,13923.3,13923.6,13922.6,13920.4,13917.1,13912.8,13907.6,13901.7,13895.1,13888.1,13880.8,13873.4,13866.2,13859.3,13853,13847.5,13843,13839.6,13837.4,13836.4,13836.5,13837.6,13839.4,13841.7,13844.4,13847.1,13849.7,13851.8
Berlin,3770.8,3801.4,3824.4,3846.6,3867.7,3887.4,3906,3923.5,3939.9,3955.3,3969.3,3981.9,3994.6,4007.5,4020.6,4034,4047.5,4061.2,4075.1,4089.1,4103.3,4117.5,4131.7,4145.8,4160,4174,4188,4202,4215.9,4229.3,4242.2,4254.8,4267,4278.8,4290.3,4301.5,4312.6,4323.5,4334.3,4345,4355.7,4366.3,4376.8,4387.1,4397.3,4407.2,4416.8,4426,4434.7
Brandenburg,2563,2571.2,2576.9,2581.7,2585.5,2588,2589.5,2590,2589.6,2588.4,2586.4,2583.7,2580.7,2577.3,2573.6,2569.4,2564.9,2559.9,2554.5,2548.6,2542.1,2535.2,2527.8,2519.9,2511.6,2502.8,2493.5,2483.9,2473.8,2463.9,2454,2444.4,2434.9,2425.9,2417.2,2408.9,2401.1,2393.8,2387,2380.7,2374.8,2369.3,2364.3,2359.5,2354.9,2350.5,2346.1,2341.8,2337.5
