"Variants of the population projection
Länder",2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31,2031-12-31,2032-12-31,2033-12-31,2034-12-31,2035-12-31,2036-12-31,2037-12-31,2038-12-31,2039-12-31,2040-12-31,2041-12-31,2042-12-31,2043-12-31,2044-12-31,2045-12-31,2046-12-31,2047-12-31,2048-12-31,2049-12-31,2050-12-31,2051-12-31,2052-12-31,2053-12-31,2054-12-31,2055-12-31,2056-12-31,2057-12-31,2058-12-31,2059-12-31,2060-12-31,2061-12-31,2062-12-31,2063-12-31,2064-12-31,2065-12-31,2066-12-31,2067-12-31,2068-12-31,2069-12-31,2070-12-31
"BEV-VARIANTE-01 Mod. birth rate a. life exp.,low mig.bal. (G2L2W1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,11250.4,11266,11280.4,11291.6,11299.7,11304.5,11306.1,11304.6,11299.9,11292.3,11282,11269,11255.1,11240.3,11224.7,11208,11190.3,11171.4,11151.3,11130,11107.4,11083.6,11058.6,11032.5,11005.4,10977.4,10948.5,10918.6,10888,10856.3,10823.7,10790.1,10755.8,10720.9,10685.4,10649.6,10613.7,10577.9,10542.4,10507.3,10472.7,10438.8,10405.4,10372.7,10340.4,10308.5,10276.9,10245.3,10213.6
Bayern,13347.5,13378.8,13408.4,13433.6,13454.5,13470.9,13482.9,13490.5,13493.7,13492.7,13487.6,13478.5,13467.7,13455.2,13441,13425.2,13407.6,13388.4,13367.4,13344.7,13320.5,13294.7,13267.4,13238.8,13208.8,13177.5,13145.1,13111.4,13076.5,13040.6,13003.7,12965.9,12927.2,12887.9,12848.2,12808.1,12768.1,12728.2,12688.6,12649.5,12611,12573.2,12536,12499.3,12463.1,12427.1,12391.4,12355.6,12319.6
Berlin,3755.2,3767.2,3778.4,3788.3,3796.8,3803.9,3809.7,3814.2,3817.5,3819.7,3820.8,3820.9,3821.1,3821.6,3822.2,3823.1,3824.2,3825.5,3827,3828.5,3830.2,3831.8,3833.4,3834.9,3836.3,3837.5,3838.5,3839.3,3839.9,3839.9,3839.3,3838.3,3836.7,3834.6,3832.1,3829.1,3825.8,3822.1,3818.3,3814.1,3809.9,3805.4,3800.8,3796,3791.1,3785.8,3780.3,3774.5,3768.3
Brandenburg,2558.4,2561.5,2563.8,2564.7,2564.4,2562.8,2560.2,2556.4,2551.7,2546.2,2539.9,2532.8,2525.4,2517.6,2509.4,2500.8,2491.8,2482.3,2472.5,2462.1,2451.3,2440,2428.3,2416.1,2403.4,2390.3,2376.7,2362.6,2348.1,2333.5,2318.9,2304.4,2289.9,2275.5,2261.4,2247.5,2234,2220.7,2207.8,2195.3,2183.2,2171.3,2159.8,2148.6,2137.5,2126.6,2115.8,2105,2094.3
Bremen,685.1,684.5,683.8,683.1,682.2,681.1,680,678.7,677.4,675.9,674.5,672.9,671.4,670,668.7,667.5,666.4,665.3,664.2,663.2,662.2,661.3,660.4,659.5,658.6,657.7,656.8,656,655.1,654.3,653.3,652.3,651.3,650.2,649,647.9,646.7,645.4,644.2,643,641.8,640.7,639.5,638.4,637.3,636.3,635.2,634.2,633.2
Hamburg,1874.9,1878.2,1881.4,1884.1,1886.4,1888.3,1889.7,1890.7,1891.4,1891.7,1891.7,1891.4,1891.1,1890.9,1890.7,1890.6,1890.6,1890.6,1890.6,1890.6,1890.7,1890.7,1890.6,1890.4,1890.1,1889.7,1889,1888.2,1887.2,1885.9,1884.2,1882.1,1879.7,1877,1874,1870.6,1867,1863.3,1859.3,1855.2,1851,1846.7,1842.4,1838,1833.6,1829.1,1824.6,1820,1815.4
Hessen,6363.2,6366.4,6369.1,6370.3,6369.7,6367.5,6363.6,6358.1,6351,6342.4,6332.4,6320.9,6309.2,6297.1,6284.8,6272.2,6259.2,6245.8,6232.1,6218,6203.5,6188.6,6173.3,6157.7,6141.7,6125.2,6108.4,6091.1,6073.4,6055.2,6036.4,6017.1,5997.4,5977.3,5957,5936.4,5915.8,5895.3,5874.9,5854.8,5835,5815.6,5796.5,5777.9,5759.5,5741.5,5723.7,5706.1,5688.5
Mecklenburg-Vorpommern,1619.3,1615.3,1611,1606.1,1600.7,1594.7,1588.3,1581.5,1574.2,1566.7,1558.8,1550.7,1542.6,1534.4,1526,1517.6,1509,1500.2,1491.3,1482,1472.6,1462.9,1453,1442.8,1432.5,1421.9,1411.2,1400.3,1389.2,1378.2,1367.2,1356.3,1345.6,1335.1,1324.7,1314.6,1304.8,1295.2,1286,1277.1,1268.5,1260.1,1252.1,1244.3,1236.7,1229.2,1221.9,1214.7,1207.5
Niedersachsen,8122.2,8125.2,8127.6,8127.6,8125.3,8120.7,8113.7,8104.5,8093.1,8079.5,8063.9,8046.4,8028.5,8010.1,7991.2,7971.8,7951.7,7931.1,7909.9,7887.9,7865.4,7842.2,7818.5,7794.3,7769.5,7744.3,7718.5,7692.3,7665.6,7638.4,7610.8,7582.9,7554.7,7526.4,7498.1,7469.9,7442,7414.6,7387.9,7361.8,7336.6,7312.3,7288.9,7266.4,7244.7,7223.7,7203.3,7183.3,7163.7
Nordrhein-Westfalen,18049.3,18038.2,18026.9,18011.9,17993.1,17970.6,17944.2,17913.9,17879.8,17842,17800.8,17756.3,17710.8,17664.3,17616.9,17568.3,17518.5,17467.4,17414.9,17361.1,17306,17249.7,17192.1,17133.4,17073.7,17012.9,16951.3,16888.7,16825.2,16760.8,16695.5,16629.4,16562.7,16495.6,16428.3,16361,16294.1,16227.8,16162.4,16098,16034.9,15973.2,15912.8,15853.7,15795.7,15738.7,15682.5,15626.9,15571.5
Rheinland-Pfalz,4150.2,4153,4155.4,4156.7,4156.8,4155.7,4153.3,4149.6,4144.6,4138.3,4130.8,4122.1,4112.9,4103.1,4092.7,4081.8,4070.2,4058.1,4045.3,4032.1,4018.3,4004.1,3989.5,3974.6,3959.4,3944,3928.4,3912.6,3896.6,3880.6,3864.4,3848.2,3832,3815.9,3799.9,3784,3768.5,3753.2,3738.3,3723.7,3709.6,3695.9,3682.5,3669.5,3656.8,3644.3,3632,3619.9,3607.8
Saarland,987.2,983.1,979.2,975.2,971,966.6,962.1,957.5,952.7,947.7,942.6,937.3,932.1,926.8,921.5,916.1,910.8,905.3,899.9,894.3,888.8,883.2,877.5,871.9,866.2,860.6,855,849.4,843.9,838.4,832.9,827.6,822.3,817.1,812,807.1,802.3,797.6,793.1,788.8,784.5,780.5,776.6,772.8,769.1,765.5,762,758.6,755.1
Sachsen,4057,4040.3,4023.5,4005.8,3987.2,3967.7,3947.7,3927,3906,3884.7,3863.3,3841.8,3820.7,3800.1,3779.9,3760,3740.5,3721.1,3701.9,3682.8,3663.7,3644.6,3625.5,3606.3,3587.1,3567.7,3548.2,3528.5,3508.7,3488.8,3468.9,3448.9,3429,3409.2,3389.5,3370,3350.9,3332,3313.5,3295.4,3277.7,3260.5,3243.6,3227,3210.8,3194.8,3179,3163.2,3147.6
Sachsen-Anhalt,2168,2151.7,2135.5,2119,2102.2,2085.2,2068,2050.7,2033.3,2016,1998.8,1981.7,1964.8,1948.4,1932.2,1916.3,1900.6,1885.1,1869.7,1854.4,1839.2,1824.1,1809,1793.9,1778.9,1763.9,1749,1734.1,1719.3,1704.6,1690,1675.7,1661.5,1647.5,1633.9,1620.6,1607.6,1595.1,1582.9,1571.2,1559.9,1549.1,1538.6,1528.5,1518.7,1509.2,1499.9,1490.9,1482
Schleswig-Holstein,2949.7,2953.7,2957.4,2960.1,2961.8,2962.5,2962.3,2961.2,2959.1,2956.2,2952.4,2947.7,2942.7,2937.2,2931.3,2925,2918.4,2911.4,2903.9,2896.1,2887.9,2879.3,2870.3,2860.8,2850.9,2840.5,2829.7,2818.3,2806.4,2794.3,2781.8,2769.2,2756.4,2743.4,2730.4,2717.3,2704.4,2691.6,2679,2666.6,2654.6,2643,2631.7,2620.7,2610.1,2599.8,2589.7,2579.8,2570.1
Thüringen,2113.6,2099.3,2085,2070.3,2055.3,2039.9,2024.3,2008.4,1992.5,1976.4,1960.3,1944.2,1928.4,1912.8,1897.5,1882.3,1867.4,1852.6,1837.9,1823.3,1808.8,1794.3,1780,1765.8,1751.7,1737.6,1723.7,1709.8,1696.1,1682.5,1669,1655.7,1642.6,1629.7,1617.1,1604.7,1592.7,1581,1569.7,1558.8,1548.2,1538,1528,1518.4,1509,1499.8,1490.8,1482,1473.3
BEV-VARIANTE-05 Relatively young population (G3L1W3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,11304.6,11383.3,11438.2,11493,11546.1,11596.1,11642.9,11686.6,11727.3,11764.9,11799.3,11830.6,11861.3,11891.2,11920.2,11948.1,11974.7,11999.8,12023.5,12045.7,12066.4,12085.7,12103.9,12121,12137.2,12152.7,12167.6,12182.1,12196.4,12210.4,12224.2,12238.2,12252.6,12267.5,12283.3,12300.1,12318.2,12337.7,12358.7,12381.3,12405.3,12430.6,12457,12484.3,12512.2,12540.3,12568.5,12596.4,12623.9
Bayern,13414.3,13524,13603.3,13682.3,13758.9,13831.2,13899.3,13963.1,14022.7,14077.8,14128.5,14174.5,14219.2,14262.3,14303.5,14343,14380.4,14415.7,14449.1,14480.4,14509.9,14537.6,14563.8,14588.7,14612.3,14635,14656.9,14678.2,14699,14719.6,14740.3,14761.3,14782.9,14805.4,14829,14854,14880.7,14909.1,14939.4,14971.5,15005.3,15040.6,15077.2,15114.7,15152.7,15190.9,15229,15266.7,15303.7
Berlin,3786.5,3835.3,3869.5,3903.2,3936,3967.1,3996.8,4025,4051.8,4077.2,4101.1,4123.6,4146.4,4169.5,4192.7,4216,4239.6,4263.3,4287,4310.9,4334.8,4358.7,4382.7,4406.6,4430.5,4454.4,4478.3,4502.2,4526.2,4549.7,4572.9,4595.7,4618.3,4640.5,4662.6,4684.5,4706.3,4728.1,4749.9,4771.6,4793.3,4814.9,4836.4,4857.8,4878.9,4899.6,4919.9,4939.7,4959
Brandenburg,2566.9,2579.7,2588.2,2596.4,2603.7,2610,2615.2,2619.4,2622.7,2625.2,2627,2628,2628.8,2629.4,2629.5,2629.3,2628.6,2627.5,2625.8,2623.6,2620.9,2617.6,2613.8,2609.6,2604.8,2599.6,2594,2587.9,2581.6,2575.4,2569.4,2563.8,2558.5,2553.8,2549.5,2545.8,2542.7,2540.2,2538.3,2537,2536.2,2535.8,2535.8,2536.2,2536.7,2537.4,2538.2,2538.9,2539.7
Bremen,689.5,694.1,696.6,699.2,701.8,704.1,706.4,708.5,710.4,712.3,714,715.6,717.2,719,720.9,722.8,724.8,726.9,729,731.1,733.3,735.5,737.8,740.1,742.5,744.9,747.4,749.9,752.5,755.1,757.7,760.3,762.9,765.5,768.1,770.8,773.5,776.2,779,781.9,784.8,787.7,790.7,793.7,796.7,799.8,802.8,805.9,808.9
Hamburg,1883.8,1897.6,1907.8,1918.2,1928.4,1938.3,1947.8,1957,1965.8,1974.3,1982.4,1990.1,1997.9,2005.7,2013.6,2021.4,2029.3,2037.1,2044.9,2052.7,2060.4,2068.1,2075.6,2083.1,2090.4,2097.5,2104.6,2111.5,2118.2,2124.7,2130.9,2136.9,2142.8,2148.4,2153.9,2159.3,2164.6,2169.9,2175.3,2180.6,2186,2191.5,2197,2202.5,2208,2213.5,2219,2224.3,2229.6
Hessen,6394.9,6435,6461.3,6487.7,6513.4,6537.4,6559.8,6580.6,6599.7,6617.2,6633.1,6647.1,6661.2,6675,6688.5,6701.6,6714.3,6726.4,6738.2,6749.4,6760.1,6770.4,6780.4,6790,6799.3,6808.3,6817.1,6825.8,6834.4,6842.8,6851.2,6859.6,6868.2,6877.1,6886.4,6896.3,6906.9,6918.3,6930.5,6943.6,6957.5,6972.2,6987.7,7003.7,7020.1,7036.7,7053.6,7070.4,7087.2
Mecklenburg-Vorpommern,1625.2,1627.7,1627.5,1627.3,1626.8,1625.7,1624.2,1622.3,1619.9,1617.3,1614.3,1611,1607.7,1604.4,1601,1597.4,1593.6,1589.6,1585.5,1581,1576.4,1571.5,1566.3,1561,1555.6,1550,1544.3,1538.6,1532.8,1527.3,1522,1516.9,1512.2,1507.8,1503.9,1500.4,1497.3,1494.6,1492.4,1490.6,1489.2,1488.1,1487.3,1486.8,1486.4,1486.2,1486.1,1486.1,1486.1
Niedersachsen,8167,8222,8256.8,8291.3,8324.4,8354.9,8382.8,8408.3,8431.3,8451.9,8470,8485.6,8501,8516,8530.5,8544.4,8557.6,8570.1,8581.7,8592.6,8602.7,8612.2,8621.2,8629.7,8637.9,8645.9,8653.7,8661.6,8669.5,8677.6,8685.9,8694.7,8704.2,8714.4,8725.7,8738.2,8752,8767.2,8784,8802.4,8822.2,8843.4,8865.9,8889.4,8913.7,8938.6,8963.9,8989.2,9014.6
Nordrhein-Westfalen,18112.5,18175.1,18210.8,18249.2,18287.4,18322.7,18355.1,18384.5,18410.8,18433.8,18453.3,18469,18484.1,18498.3,18511.1,18522.4,18532.1,18540,18546.1,18550.4,18553,18554,18553.8,18552.5,18550.3,18547.5,18544.2,18540.7,18537.2,18533.9,18531,18529,18528.2,18528.9,18531.5,18536.3,18543.7,18553.8,18566.7,18582.5,18601.1,18622.2,18645.5,18670.7,18697.1,18724.5,18752.4,18780.3,18807.9
Rheinland-Pfalz,4169.7,4195.1,4211.6,4228.4,4244.5,4259.5,4273.2,4285.7,4296.9,4306.8,4315.3,4322.4,4329.1,4335.2,4340.7,4345.5,4349.7,4353.1,4355.9,4358.1,4359.7,4361,4361.8,4362.5,4362.9,4363.3,4363.6,4364,4364.5,4365.2,4366.2,4367.6,4369.4,4371.8,4374.8,4378.5,4382.9,4388.2,4394.2,4400.9,4408.4,4416.5,4425.1,4434.1,4443.4,4452.9,4462.4,4472,4481.4
Saarland,991.4,992.2,991.1,990.3,989.5,988.5,987.3,985.9,984.3,982.6,980.6,978.4,976.2,974,971.8,969.5,967.1,964.7,962.3,959.7,957.1,954.5,951.9,949.3,946.8,944.3,941.9,939.5,937.3,935.2,933.3,931.6,930,928.6,927.5,926.5,925.8,925.4,925.1,925.1,925.2,925.5,926,926.6,927.2,928,928.7,929.5,930.3
Sachsen,4072.1,4072.2,4066,4060.7,4055.6,4049.5,4042.7,4035.2,4027.4,4019.3,4010.9,4002.4,3994.5,3987.2,3980.3,3973.8,3967.5,3961.5,3955.6,3949.8,3944.1,3938.4,3932.8,3927.2,3921.7,3916.2,3910.7,3905.3,3899.8,3894.6,3889.6,3884.9,3880.5,3876.5,3873.1,3870.2,3867.9,3866.3,3865.3,3865,3865.4,3866.3,3867.8,3869.7,3871.9,3874.4,3877,3879.8,3882.8
Sachsen-Anhalt,2175.6,2167.5,2156.4,2145.7,2135.1,2124.1,2112.8,2101.3,2089.6,2078,2066.3,2054.5,2043.2,2032.3,2021.6,2011.2,2001,1991,1981.1,1971.3,1961.7,1952.1,1942.7,1933.4,1924.3,1915.4,1906.6,1898.1,1889.9,1881.9,1874.3,1867.1,1860.3,1854,1848.1,1842.8,1838,1833.8,1830.1,1826.9,1824.3,1822.1,1820.4,1819,1817.9,1817,1816.4,1816,1815.7
Schleswig-Holstein,2961.2,2978.3,2990.2,3002.2,3013.7,3024.3,3034,3042.8,3050.7,3057.8,3064,3069.4,3074.4,3079.1,3083.3,3087.2,3090.7,3093.7,3096.2,3098.3,3099.9,3101.1,3101.8,3102.1,3101.9,3101.2,3100.1,3098.6,3096.7,3094.6,3092.6,3090.6,3088.8,3087.2,3085.9,3085.1,3084.7,3084.9,3085.6,3087,3089,3091.6,3094.6,3098.2,3102.1,3106.3,3110.7,3115.3,3119.9
Thüringen,2122.8,2118.8,2110.7,2102.9,2094.9,2086.6,2077.9,2068.8,2059.6,2050.2,2040.7,2031,2021.7,2012.7,2003.9,1995.3,1986.9,1978.6,1970.4,1962.4,1954.5,1946.7,1939,1931.5,1924.3,1917.2,1910.4,1903.8,1897.6,1891.6,1885.9,1880.6,1875.6,1871.1,1867.1,1863.5,1860.5,1857.9,1855.8,1854.2,1853,1852.2,1851.8,1851.7,1851.8,1852.1,1852.5,1853.1,1853.8
